WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D0836962,Water pitcher,20170518,20190101,Marcus J. Shotey;Daniel Allen,"Bonvi Water, Inc.",701,D630894;D651446;9382131;D798643,"The ornamental design for a water pitcher, as shown and described."
D0836963,Water container,20170606,20190101,Sangwoon Jeon;Hyunil Lee;Junhyeok Choi,"SAMSUNG ELECTRONICS CO., LTD.",701,D317547;D602731;D651446;D668094;D683176;D708888;D745804;2017/0354278,"The ornamental design fora water container, as shown and described."
D0836972,Pickle pipe,20170523,20190101,Philip D. Baron;Michael J. Bacher,"Masontops, Inc.",701,D5371;2335766;2556195;2694641;2828886;3252404;3455292;3924774;3943987;3946780;4099512;D249624;4218964;4434810;4537017;4688571;4844929;4874108;D304663;5004118;5108423;D326917;5212090;5213230;D341320;5339981;D384236;D392046;5769285;D399745;D415652;6050451;D432857;D455963;6769291;D596487;D617057;D622090;8117990;D659464;D682612;D686878;D717103;8985361;D732959;D745799;9215955;2009/0028999;2012/0305514;2014/0116271;2015/0128809,"We claim an ornamental design for a pickle pipe, as shown and described."
D0836974,Container,20170602,20190101,Roy Joseph Seiders;Matthew Joseph Petrillo;Kyle Ellison,"YETI Coolers, LLC",701,D192192;4090660;4202459;4408703;D288667;D363666;5746338;D416755;D485759;D504796;D544749;D552926;D584566;D608140;D623017;D627600;D643245;D644060;D647753;D655570;D655604;D655967;D662354;D666052;D667263;8276776;D674663;D691416;D692756;D696900;D710698;D715100;D717103;D717115;D721535;D721540;D732337;D747199;D751340;D751341;D752381;D752397;9346076;D761618;D764869;D772651;D779872;D780531;D789737;D795020;D796256;D799899;D801746;D802362;D803619;D803684;D804905;D805838;D807701;D808218;D814240;2010/0288782;2011/0114655;2012/0125931;2013/0186918;2014/0374418;2015/0021345;2015/0266597;2017/0273484,"The ornamental design for a container, as shown and described."
D0836982,Vessel,20170915,20190101,Ryan Diener;Mike Allen,HELEN OF TROY LIMITED,701,D35066;D256651;D280291;D548082;D569254;D577289;D626414;D629689;D629691;D633794;D633795;D633797;D709734;D751924;D783368;D784775;D799906;D804256;D807125;D807126,"The ornamental design for a vessel, as shown, and described."
D0836983,Beverage system,20170223,20190101,Dylan M. Jacob,"BruMate, LLC",701,D373704;D398479;D416198;D492546;D501362;D534762;D539155;D539657;D541665;D551984;D557140;D591556;D602362;7628285;D635019;D641591;8033407;D654762;D660084;D664045;D690988;D707087;D727093;D727688;D728314;D732968;D750497;D761618;D761623;D761624;D770851;D773296;D775495;D780530;D784763;D786700;2014/0205725,"The ornamental design for a beverage system, as shown and described."
D0836984,Container with lid,20170825,20190101,Steven M. Sorensen;David O. Meyers;Manny Carreon,"Runway Blue, LLC",701,D226174;D235032;D317121;D343793;D352242;D412664;D413067;6029837;D427913;D460357;D528910;D537355;D537676;D561035;D596458;D609969;D610005;D619001;D690556;D692276;8752720;8807083;D714584;D721912;D724896;D758133;D760540;D763076;D766090;D767390;D769671;D781153;D791542;D795646;D797497;9771189;D816397;D818774;D824722;2006/0016819;2006/0045604;2006/0226110;2008/0087624;2009/0236341;2011/0278216;2014/0233344;2015/0173540,"The ornamental design for a container with lid, as shown and described."
D0836985,Sports shaker,20170831,20190101,Marin Otto,Printer & Long AS,701,D563232;D621220;D634972;D674662;D682612;D687661;D689331;D697354;D699996;D723332;D724896;D730694;D739674;D741183;D747148;D748430;D754483;D755562;D766029;D766090;D767337;D778666;D786018;D788527;D793165;D797497;D799270;D811814;2016/0296051;2018/0072553,"The ornamental design for a sports shaker, as shown."
D0836986,Drinking cup,20160909,20190101,Ben Davies,KONINKLIJKE PHILIPS N.V.,701,D315213;D368529;D476849;D495558;D507151;D515867;D520809;D545131;D551021;D559624;D579721;D616706;D625424;D627599;D635684;D642435;D642866;8256642;D675877;D676709;D679948;D683185;D684426;D688099;8573436;D713687;D718087;D718090;D730697;D734095;D747920;D748435;D763624;D764235;D793167;D796262;D796906;D809875;D819401;2003/0218015;2005/0098567,"The ornamental design for a drinking cup, as shown and described."
D0836987,Drinking vessel,20171110,20190101,Jordon J. Schultz,,701,1496989;D261465;5092480;D466407;D472426;D492196;D577615;D713718;D753482;D818819,"The ornamental design for a drinking vessel, as shown and described."
D0836988,Bowl,20171017,20190101,Michael D. Dwork,,701,D235498;D284727;D372170;D448130;D530625;D541488;D645708;D649838;D749412;D750973;D778115;D790926;D792161;D793811;D819334;D823693,"The ornamental design for a bowl, as shown and described."
D0836989,Skewer alignment tray with lid,20170619,20190101,Kathleen Tang,,701,D524651;D635364;D766663;D787186;D793252;D800577;D805399;D805403;D806576;D810518,"The ornamental design for a skewer alignment tray with lid, as shown and described."
D0836990,Rectangular feeding mat,20160713,20190101,Nouri E Hakim,"Admar International, Inc.",701,D259669;4989846;D366395;D550407;D631696;D658917;D735531;D766659;D766660;D767941;D774361;D791544;D802368;D807705;2012/0273384;2017/0280675;2017/0280904,"An ornamental design for a rectangular feeding mat, as shown and described, except as disclaimed herein."
D0836991,Food tray,20170502,20190101,Brian Wansink,"Transformative Health Solutions, LLC",701,D122589;D195345;D201454;D208260;D208717;D247765;D255310;D261589;RE30962;D271932;D280669;D292768;D335796;D353515;D355333;D360111;D376296;D410820;D423290;D436500;D606774;D634541;8381662;D721543;D769678;D770856;D785406;D786621;D791544,"The ornamental design for a food tray, as shown and described."
D0836992,Bowl,20170718,20190101,David Ribeiro-Ramalhosa,Villeroy & Boch AG,701,D261715;D276870;D384555;D432361;D489226;D609530;D631296;D653496;D746640,"The ornamental design for a bowl, as shown and described."
D0836993,Cooler,20170517,20190101,Samuele Meda;Joakim Ahlström,Dometic Sweden AB,701,D281695;D337232;5407218;D374772;5676296;D400053;5860281;D416447;6474097;D494021;D497517;D500057;D527225;7143601;D534771;7415794;7913849;8104800;8312816;9163871;9220250;9232290;9320938;D792486;D802028;D802029;D802630;2011/0226785;2014/0338390;2015/0000318;2015/0008242;2015/0021106;2015/0114024;2015/0241107;2016/0101924;2017/0023290,"The ornamental design for a cooler, as shown and described."
D0836994,Cooler,20170517,20190101,Samuele Meda;Joakim Ahlström,Dometic Sweden AB,701,D281695;D337232;5407218;D374772;5676296;D400053;5860281;D416447;6474097;D494021;D497517;D500057;D527225;7143601;D534771;7415794;7913849;8104800;8312816;D712720;D712721;D712722;D712723;D714125;8910819;D722474;D722475;D732348;D732349;D732350;D732899;9139352;9163871;9187232;9220250;9232290;D752347;9320938;D792486;D802028;D802029;D802630;2011/0226785;2014/0338390;2015/0000318;2015/0008242;2015/0021106;2015/0114024;2015/0241107;2015/0322698;2015/0353263;2016/0101924;2017/0023290,"The ornamental design for a cooler, as shown and described."
D0836995,Cooler,20170619,20190101,Richard Carey;Ross Niemi,The Metal Ware Corporation,701,1483953;D70542;1699313;2960216;D210795;3782765;D232798;D237135;D257934;D259232;D266822;D270604;D281695;D283480;D283966;D291858;4702504;D305397;D307998;D322198;D325323;D325324;D325853;D328221;D328689;D330329;D333775;D334868;D340167;D340620;D349007;D351318;D352208;D353304;D354419;D366599;D369722;D370159;D376068;5607195;D380369;D386649;5683097;5735428;5738238;5742990;D394550;D396779;D397585;D398816;D407609;D415393;D415658;D421552;D423294;D429606;D437736;D439406;D439913;D454292;6398272;D467470;D467770;D475248;D486457;D494021;D511247;D511624;D521810;D528368;D552426;D560102;D563731;D566479;D575059;D587972;7533782;7540364;D604994;D613109;D613560;7722204;D634982;D637459;D640102;D645248;D646528;D651860;D660885;8210702;D694070;D712720;D712721;D712722;D712723;D714125;8887515;8910819;9187232;D747950;D747951;D748452;D750953;2008/0025544;2008/0110892;2009/0139245;2011/0203297;2012/0132657;2014/0252010,"The ornamental design for a cooler, as shown and described."
D0836996,Cooler,20170915,20190101,James Matthew Jacobsen,"RTIC IP, LLC",701,4050264;4537313;D289597;4805776;D311476;D340840;5329787;5421172;D371942;D387626;7162890;D575059;7730739;8327659;D732348;D732349;D732350;D732899;9139352;D752347;D768378;9491994;D786559;D786560;D786561;D786562;D787187;D797454;D797455;D798670;D799276;D799277;D800444;D801123;D802373;D814879,"The ornamental design for a cooler, as shown and described."
D0836997,Cooler,20171101,20190101,James Matthew Jacobsen,"RTIC IP, LLC",701,4050264;4537313;D289597;4805776;D311476;D340840;5329787;5421172;D371942;D387626;7162890;D575059;7730739;8327659;D732348;D732349;D732350;D732899;9139352;D752347;D768378;9491994;D786559;D786560;D786561;D786562;D787187;D797454;D797455;D798670;D799276;D799277;D800444;D801123;D802373;D814879,"The ornamental design for a cooler, as shown and described."
D0836998,Cooler,20171101,20190101,James Matthew Jacobsen,"RTIC IP, LLC",701,4050264;4537313;D289597;4805776;D311476;D340840;5329787;5421172;D371942;D387626;7162890;D575059;7730739;8327659;D732348;D732349;D732350;D732899;9139352;D752347;D768378;9491994;D786559;D786560;D786561;D786562;D787187;D797454;D797455;D798670;D799276;D799277;D800444;D801123;D802373;D814879,"The ornamental design for a cooler, as shown and described."
D0836999,Cooler with strap handles and wrap-around closure,20171229,20190101,James Matthew Jacobsen,"RTIC IP, LLC",701,D195812;3225983;3734336;3905526;4050264;4119248;4537313;D284333;D284623;D289597;4805776;D311452;D311476;4978044;D313316;D340621;D340840;5329787;5421172;D361665;D371052;D371907;D371942;D387626;D390004;D403161;6238091;D450187;D461633;D465134;6474097;6666363;D492115;7162890;7240513;D573422;D575059;7540363;7669436;7730739;D628382;D636184;8327659;D673994;8348510;D692661;8899071;D722233;D724318;D725900;D726407;D730043;D732899;9078501;D752347;D762384;9408445;D768378;9491994;D786559;D786560;D786561;D786562;D797454;D797455;D800444;D805851;D808655;D808730;2005/0205459;2007/0237432;2009/0049859;2010/0320248;2013/0140120;2013/0188892;2016/0029764,"The ornamental design for a cooler with strap handles and wrap-around closure, as shown and described."
D0837000,Cooler with strap handles and wrap-around closure,20171229,20190101,James Matthew Jacobsen,"RTIC IP, LLC",701,D195812;3225983;3734336;3905526;4050264;4119248;4537313;D284333;D284623;D289597;4805776;D311452;D311476;4978044;D313316;D340621;D340840;5329787;5421172;D361665;D371052;D371907;D371942;D387626;D390004;D403161;6238091;D450187;D461633;D465134;6474097;6666363;D492115;7162890;7240513;D573422;D575059;7540363;7669436;7730739;D628382;D636184;8327659;D673994;8348510;D692661;8899071;D722233;D724318;D725900;D726407;D730043;D732899;9078501;D752347;D762384;9408445;D768378;9491994;D786559;D786560;D786561;D786562;D797454;D797455;D800444;D805851;D808655;D808730;2005/0205459;2007/0237432;2009/0049859;2010/0320248;2013/0140120;2013/0188892;2016/0029764,"The ornamental design for a cooler with strap handles and wrap-around closure, as shown and described."
D0837001,Cooler with strap handles and wrap-around closure,20171229,20190101,James Matthew Jacobsen,"RTIC IP, LLC",701,D195812;3225983;3734336;3905526;4050264;4119248;4537313;D284333;D284623;D289597;4805776;D311452;D311476;4978044;D313316;D340621;D340840;5329787;5421172;D361665;D371052;D371907;D371942;D387626;D390004;D403161;6238091;D450187;D461633;D465134;6474097;6666363;D492115;7162890;7240513;D573422;D575059;7540363;7669436;7730739;D628382;D636184;8327659;D673994;8348510;D692661;8899071;D722233;D724318;D725900;D726407;D730043;D732899;9078501;D752347;D762384;9408445;D768378;9491994;D786559;D786560;D786561;D786562;D797454;D797455;D800444;D805851;D808655;D808730;2005/0205459;2007/0237432;2009/0049859;2010/0320248;2013/0140120;2013/0188892;2016/0029764,"The ornamental design for a cooler with strap handles and a wrap-around closure, as shown and described."
D0837172,Collaboration unit,20170926,20190101,Linn Tale Haugen;Simen Andresen,"Cisco Technology, Inc.",1403,D520494;D526309;D555633;D562801;D589929;D629388;D654907;D655274;D692858;D710823;D711852;D715769;D731573;D738860;D742845;D743373;D744982;D754104;D756322;D756961;D766876;D773420;D793362;2017/0094222,"The ornamental design for a collaboration unit, as shown and described."
D0837173,Freestanding collaboration endpoint,20171017,20190101,Andre Lyngra;Lars Torbjørn Ormvold;Stian Akre,"Cisco Technology, Inc.",1403,D434738;D439225;D471189;D486915;D541267;D559210;D559211;D583781;D599755;D615514;D635942;D651185;D653245;D655279;8286977;8300078;D671083;8542264;D709842;D718260;D718264;D718730;D720315;D720317;D732496;D739364;D742845;D756322;D780750;2003/0058372;2010/0148458;2013/0083155,"The ornamental design for a freestanding collaboration endpoint, as shown and described."
D0837174,Mobile phone,20161017,20190101,Sharim Choe;Sanghyun Choi,LG ELECTRONICS INC.,1403,D581384;D592628;D627782;D639763;D645441;D661277;D676400;D681591;D687404;D687795;D697493;D701192;D706234;D731453;D740247;D743366;D746245;D766201;D783557;D803176;D807853;D813186;D817912;D820833;D820836;2012/0238334,"The ornamental design for a mobile phone, as shown and described."
D0837175,Mobile phone,20161017,20190101,Hyunggon Ryu;Minsun Park;Woonlee Park;Kyubong Choi,LG ELECTRONICS INC.,1403,D571762;D600690;D615522;D623183;D627782;D629779;D633882;D661277;D676440;D687404;D687795;D697493;D700902;D701191;D701192;D701847;D721342;D743366;D758333;D760680;D806705;D815633;D820833;2011/0081953;2012/0238334,"The ornamental design for a mobile phone, as shown and described."
D0837176,Mobile phone,20161017,20190101,Kyubong Choi,LG ELECTRONICS INC.,1403,D583346;D595712;D625284;D645441;D716253;D717262;D721671;D721680;D722035;D722036;D722037;D730310;D737238;D737794;D760218;D768594;D769209;D777130;D777698;D778869;D784322;D788103;D788735;D798260;D815612;2011/0195752,"The ornamental design for a mobile phone, as shown and described."
D0837177,Electronic device,20170323,20190101,Chen Cui;Xiangrong Zhang;Miika Johannes Mahonen,"Samsung Electronics Co., Ltd.",1403,D670260;D675586;D697889;D720731;D789317;D793984;D795213;D797697;D801297;D801322;D810727;D812585;D814456;D816055;D820800;D821348;2017/0133746;2017/0142239,"We claim the ornamental design for an electronic device, as shown and described."
D0837178,Baby monitor,20171021,20190101,Qingcao Gan,"SHENZHEN VALUELINK E-COMMERCE CO., LTD.",1403,D410205;D414090;D440899;D465469;D538245;D661681;D662075;D666575;D668239;D716753;D763220;D763817,"A new, original, ornamental design for a baby monitor, as shown and described."
D0837179,Baby monitor,20171021,20190101,Qingcao Gan,"SHENZHEN VALUELINK E-COMMERCE CO., LTD.",1403,D440899;D538245;D637174;D665767;D666576;D668239;D740781;D763220;D763817;D789905;D795833;D818985;D823277,"A new, original, ornamental design for a baby monitor, as shown and described."
D0837180,Communicator,20170517,20190101,Christopher Anthony Silva,KOVACORP,1403,D103532;D132743;D185798;D203596;D213050;D218430;D218435;D221381;D243024;D243536;D250589;D251247;D252948;D253651;D255032;D273581;D274518;D274707;D279471;D280097;D285681;D288318;D305121;D307273;D313363;D313416;D314962;D323894;D325202;D327264;D332100;D332833;D338632;D338843;D339540;D344466;D344906;D345314;D348410;D349699;D349863;D356797;D358153;D372435;D376330;D378753;D380973;D385209;D386495;D390553;D392636;D394653;D399203;D413541;D424464;D427315;D434991;D440562;D468287;D484867;D500297;D516446;D521985;D527370;D557351;D568194;D569981;D604418;D628926;D661680;D661682;D709780;D710228;D710229;D710230;D729093;D769757;2016/0330556,"I claim, the ornamental design for a communicator, as shown and described."
D0837185,Speaker,20151021,20190101,Andreas Enqvist,Zound Industries International AB,1403,D584287;D597064;D718277;D758344;D766875,"The ornamental design for a speaker, as shown and described."
D0837186,Audio signal processor,20171024,20190101,Hiroki Nishioka,YAMAHA CORPORATION,1403,D347844;D349702;D373589;D529479;D564996;D565537;D594846;D617306;D626954;D739375;D754096;D801298;D807857,"The ornamental design for an audio signal processor, as shown and described."
D0837187,Loudspeaker cabinet,20170118,20190101,Michael D. Kasten;Michael P. Carpenter,Robert Bosch GmbH,1403,D359286;D394263;D439237;D502460;D565549;D568293;D568294;D591724;D595693;D609216;D637580;D638400;D642555;D657343;D659676;D682250;D682255;D691591;D691592;D692865;D695269;D695717;D701853;D705191;D710332;D710827;D711854;D733680;D734697;D741795;D752015;D762192;D764444;D776086,"We claim the ornamental design for a loudspeaker cabinet, as shown and described in the figures."
D0837188,Antenna,20170807,20190101,Ruidian Yang,SHENZHEN ANTOP TECHNOLOGY LIMITED,1403,D339352;5313218;5696372;D537445;D547754;7265718;7439926;D590379;D612371;D618240;D623175;D642173;D656131;D664126;D665385;D751535;D754641;D758999;D788746;D806689;2008/0291345,"The ornamental design for an antenna, as shown and described."
D0837189,Electronic device,20170322,20190101,Chen Cui;Xiangrong Zhang;Miika Johannes Mahonen,"Samsung Electronics Co., Ltd.",1403,D701851;D731481;D737814;D755748;D761773;D768637;D783602;D791099;D791139;D797697;D800716;D801297;D801322;D803177;D803209;D806705;D809495;D810727;D813215;D816649;D820800;D821348;2017/0069956;2017/0117614;2017/0133746;2017/0141469;2017/0187851;2017/0194694;2018/0006361;2018/0017995;2018/0098448;2018/0109659,"We claim the ornamental design for an electronic device, as shown and described."
D0837190,Electronic device,20170515,20190101,Miika Johannes Mahonen;Xiangrong Zhang;Chen Cui,"Samsung Electronics Co., Ltd.",1403,D701851;D731481;D737814;D755748;D761773;D768637;D783602;D791099;D791139;D797697;D800716;D801297;D801322;D803177;D803209;D806705;D809495;D810727;D813215;D816649;D820800;D821348;2017/0069956;2017/0117614;2017/0133746;2017/0141469;2017/0187851;2017/0194694;2018/0006361;2018/0017995;2018/0098448;2018/0109659,"We claim the ornamental design for an electronic device, as shown and described."
D0837191,Electronic device,20170515,20190101,Miika Johannes Mahonen;Xiangrong Zhang;Chen Cui,"Samsung Electronics Co., Ltd.",1403,D701851;D731481;D737814;D755748;D761773;D768637;D783602;D791099;D791139;D797697;D800716;D801297;D801322;D803177;D803209;D806705;D809495;D810727;D813215;D816649;D820800;D821348;2017/0069956;2017/0117614;2017/0133746;2017/0141469;2017/0187851;2017/0194694;2018/0006361;2018/0017995;2018/0098448;2018/0109659,"We claim the ornamental design for an electronic device, as shown and described."
D0837192,Enclosure for an electronic communications device,20150629,20190101,David E. Chaney;Timothy R. Fitch;Qiurong Ma,"Hand Held Products, Inc.",1403,D280674;D325471;D337435;5554822;5574625;5586002;5625534;6000607;6304459;6637661;6679425;6944782;7123487;D588088;D588146;D593319;D603602;D608781;7688580;D624114;D624115;D638012;D659138;D659564;D665735;D667823;D670278;D672386;D678936;D696234;8632004;8662905;D710343;D712890;8827725;D716285;D719166;D719950;D728551;D733112;9107484;D748085;D754114;D754650;D768617;D772208;D781833;D784976;9721125;2001/0003071;2007/0146985;2008/0132289;2009/0009945;2013/0237290;2013/0264234;2014/0191644;2017/0187411;2017/0215293,"The ornamental design for an enclosure for an electronic communications device, as shown and described."
D0837193,Protective casing with integral bumper for an electronic communications device,20160915,20190101,Greg Ettenson;Dave Joseph;Scott H. Wilson,"Scott Wilson Design, Ltd.",1403,D144114;6068119;6094785;6317313;6415138;6525928;6536589;6646864;6659274;6995976;7158376;7180735;7230823;7312984;7337565;D580900;7449650;D589486;D589505;D600908;7609512;7612997;7663879;D612827;7688580;D613718;D615536;D616360;D616361;D617784;D617785;D622250;7782610;D624046;D626528;7889489;7889498;D634741;7907394;D636386;7933122;D637992;7957524;D653202;D655281;D659094;8204561;D669458;D669892;8286789;8312991;D671745;D671932;8328008;D674789;D675161;D675204;D675205;8342325;D675604;8367235;D677231;D678262;8393466;8395894;D679695;D683136;D683338;8442604;8457701;D685327;D685785;D687004;8483758;8505718;8509864;8526180;8531834;D690688;8548541;8564950;8567599;8570737;D697060;D698775;D698776;D705206;D706255;D706754;D714279;D714769;D718756;D718757;D718758;D754651;D756344;D757704;D762202;2006/0049070;2011/0159324;2011/0287726;2011/0297578;2012/0043236;2013/0043777;2013/0092576;2013/0181584;2013/0271922;2013/0273944,"The ornamental design for a protective casing with integral bumper for an electronic communications device, as shown and described."
D0837194,Mobile communication device cover,20161019,20190101,Jason Roberts;Wilhelm Marschall;Benjamin Thorpe,TECH 21 LICENSING LIMITED,1403,D357918;D591740;D607427;D671745;D678332;D678906;D682241;D685739;D692826;D704626;D704685;D710814;D712388;D719945;D724065;9059505;D747708;D756345;D757704;2006/0171104;2014/0049476;2014/0110275;2015/0017905;2015/0116933;2015/0195938;2016/0058143,"The ornamental design for a mobile communications device cover, as shown and described."
D0837195,Lighted mirror cell phone case,20161107,20190101,Erik A. Kaiser,,1403,D622958;D681620;D712890;D713834;D743704;D749329;D765630;D772214;2015/0205183,"The ornamental design for a lighted mirror cell phone case, as shown and described."
D0837196,Case for electronic communications device,20170905,20190101,Seungjoo Kim,"SPIGEN KOREA CO., LTD.",1403,D528110;D575799;D611465;D631462;D631463;D634741;D637589;D638414;D643029;7989085;D658164;D673539;D673547;D679685;D679696;D679697;D679698;D681022;D681613;D682259;D683723;D684959;D685738;D685776;D697904;D699714;D704688;D709870;D714277;D715787;D715789;D717286;D717774;D717778;D718292;D718757;D718759;D720340;D721065;D724572;D725089;D727886;D728542;D728543;D728544;D731481;D733693;D739391;D746275;D747301;D748614;D749068;D749555;D761781;D764476;D765628;D767554;D770431;D783602;D801959;2016/0101902;2016/0204817,"The ornamental design for a case for electronic communications device, as shown and described."
D0837197,Case for electronic device,20170913,20190101,Dae-Young Kim,"SPIGEN KOREA CO., LTD.",1403,D663263;D679271;D681615;D689852;D695735;D698773;D700583;D706254;D721069;D723019;D724572;D727304;D729781;D733693;D765633;D776104;D780167;9628133;D791755;D796497;D800713;D807338,"The ornamental design for a case for electronic devices, as shown and described."
D0837198,Frame member for a mounting unit for audiovisual devices,20161104,20190101,Mike Entwistle,Urben Technologies Limited,1403,D387078;D426564;D488648;D489828;D538318;D542820;D560685;D603827;D609727;D610178;D641389;D655021;D676576;D684203;D684204;D710025;D710921;D717289;D720607;D722043;D725638;D730880;D733788;D744473;D753642;D754991;D755994;D759012;D769234;D769346;D770436;D770437;D770438;D788094;D788762;D789999;D798339;D805569;D816070;D816140;D816656;2008/0088941,"The ornamental design for a frame member for a mounting unit for audiovisual devices, as shown and described."
D0837199,Joint member for a mounting unit for audiovisual devices,20161104,20190101,Mike Entwistle,Urben Technologies Limited,1403,D387078;D426564;D488648;D489828;D538318;D542820;D560685;D603827;D609727;D610178;D641389;D655021;D684203;D684204;D710025;D710921;D717289;D722043;D725638;D730880;D731298;D733788;D734136;D744473;D753642;D754991;D755994;D759012;D769234;D769346;D770436;D770437;D770438;D788094;D788762;D789999;D798339;D805569;D816070;D816140;D816656;2008/0088941,"The ornamental design for a joint member for a mounting unit for audiovisual devices, as shown and described."
D0837200,Mounting unit for audiovisual devices,20161104,20190101,Mike Entwistle,URBEN TECHNOLOGIES LIMITED,1403,D387078;D426564;D488648;D538318;D542820;D560685;D603827;D609727;D610178;D641389;D684203;D684204;D710025;D710921;D717289;D722043;D725638;D730880;D733788;D744473;D753642;D754991;D759012;D769234;D769346;D770436;D770437;D770438;D788094;D788762;D789999;D798339;D805569;D816070;D816140;D816656;2008/0088941,"The ornamental design for a mounting unit for audiovisual devices, as shown and described."
D0837225,Full motion display mount,20160408,20190101,Scott Russell;Erik Nicholas Olson,Milestone AV Technologies LLC,1403,D493800;D517085;7178775;D538632;D539126;D631875;D635130;8235341;8456808;8490934;D703641;8746639;8746642;9052057;9109742;9433293;2010/0309615,"The ornamental design for a full motion display mount, as shown and described."
D0837226,Recording medium,20171026,20190101,Chang Shian Wei,Toshiba Memory Corporation,1403,D569375;D642585;D669899;D688651;D691139;D703679;D759003;D771058;D771637;D773477;D786263;D797113;D798307;D798878;D827649,"The ornamental design for a recording medium, as shown and described."
D0837227,Display screen with graphical user interface for a mobile device,20160912,20190101,Alan Paulin;Peter Westen;Shawn Welch;Daniel Federman;Michael Gershunovsky;Ayokunle Omojola,"Square, Inc.",1404,5220501;5283829;5715298;5832460;5870724;5884288;5963647;6032133;6039250;6865558;7003493;7107243;7194437;D604740;7644037;7657477;7930248;8131643;8510220;8630947;8630948;D721722;D729821;D740839;D757055;D757056;D759723;D760736;D764495;9483763;D776131;9881296;9886689;D815663;D819062;2001/0034682;2002/0023055;2002/0035488;2002/0087469;2002/0116331;2002/0128967;2003/0004867;2003/0024979;2004/0019605;2004/0064407;2004/0111367;2004/0148252;2006/0080232;2006/0206425;2006/0224508;2007/0179872;2007/0244811;2007/0255653;2008/0015982;2008/0097905;2008/0249936;2008/0288376;2009/0089193;2010/0023450;2010/0042538;2010/0062796;2010/0114606;2010/0138312;2010/0280871;2011/0004551;2011/0082789;2011/0106677;2011/0208600;2011/0213707;2012/0136781;2012/0166334;2013/0066771;2013/0085936;2013/0198061;2014/0025564;2014/0052633;2014/0114852;2014/0136405;2014/0214649;2014/0337235;2015/0046320;2015/0088732;2018/0075444;2018/0114211,"The ornamental design for a display screen with graphical user interface for a mobile device, as shown and described."
D0837228,Display screen or portion thereof with graphical user interface,20160919,20190101,Imran Chaudhri;Alan C. Dye;Christopher Foss;Jonathan P. Ive;Tiffany Jon;Woo-Ram Lee;Stephen O. Lemay,Apple Inc.,1404,D418123;D635988;7921369;D638442;D652426;D660315;D682882;D684987;D688693;D703224;D704223;D705252;D717830;D727335;D740304;D745895;D751576;D755225;D760745;D767595;D774098;D774548;D774549;D774552;D775210;D775211;D775212;D775213;D775671;D777761;D781881;D803263;D808400;D808415;D809552;D812641;D818037;2005/0156873,"The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described."
D0837229,Computing device display screen with graphical user interface for providing geographic-based service information,20160926,20190101,Didier Patrick Hilhorst;Bryant Jow;Peter Ng,"Uber Technologies, Inc.",1404,7877705;D696264;D738910;D754151;D754714;D755192;D756382;D760773;D765100;D766959;D769930;D772255;D773534;D775636;D777768;D778311;D779552;D781311;D782497;D788157;D807899;D812636;D815656;2013/0246301;2013/0300686;2015/0309689,"The ornamental design of a computing device display screen with graphical user interface for providing geographic-based service information, as shown and described."
D0837230,Display screen or portion thereof with graphical user interface,20161027,20190101,Alexander Johnston;Jonathan Lochhead,Apple Inc.,1404,D398299;5880733;D450059;6342902;D459361;6897880;6993726;D526653;7107549;D558221;D566126;D571819;D573601;D599806;D600249;D603415;D609715;D610160;D611053;D613300;D615989;D622730;D627361;D637198;D637606;D638432;D638842;8032841;D655300;D655303;D657368;D658195;D660864;D661313;D661702;D664969;D665400;D667020;D672363;D674809;D677685;D677686;8418075;D682303;D685817;D686237;D689064;D689507;D690712;D691627;D692443;D692444;8549430;D693362;D695780;D696278;D696279;D696686;D697520;D697936;D698360;D701227;D705797;D706805;D707694;D707704;D708210;D709517;D711412;D714337;D719188;D721719;D730926;D730927;D731530;D733720;D733747;D734772;D736239;D736245;D736804;D738394;D740310;D741340;D743983;D745017;D745550;D746305;D746316;D746323;D746845;D749090;D749622;D750099;D753687;D754678;D755800;D755805;D755817;D757043;D757066;D760750;D762655;D764524;D766286;D768660;D769264;D769892;D772278;D773495;D774073;D775147;D776139;D779544;D792432;D793412;D794042;D794043;D794044;D794655;D794656;D794657;D796530;D796539;D797765;D797769;D800748;D801355;D801376;2003/0086719;2008/0066016;2008/0120571;2012/0036459;2012/0047463;2012/0054778;2015/0095260,"The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described."
D0837231,Display panel or screen with animated graphical user interface,20161102,20190101,"Jonathan Lewis Nook;William Knight Nook, Sr.;James Richard Stanfield;Derek Michael Underhill",THE NOCO COMPANY,1404,D418121;D576172;D637197;D712416;D713850;D758445;D769254;D772891;D774043;D775174;D779544;D796520;2013/0190717,"The ornamental design for a display panel or screen with animated graphical user interface, as shown and described."
